rank,animal,power
156,Indian (Greater One-horned) Rhinoceros,132.973113
157,Smilodon fatalis (coalition of 2),132.217499
158,Pentaceratops sternbergii,132.169773
159,Suchomimus tenerensis,131.761499
160,Saltriovenator zanellai,126.571534
161,Parahelicoprion spp.,124.257648
162,Dire Wolf (pack of 10- 12),124.093607
163,White Rhinoceros,123.855923
164,Lioness (pride of 4),117.771828
165,Astrapotherium magnum,117.646701
166,Skorpiovenator bustingorryi,117.099910
167,Amargasaurus cazaui,116.543975
168,Dunkleosteus terrelli,115.902009
169,Smilodon fatalis (coalition of 4),115.751953
170,Great White Shark,115.640274
171,Stegosaurus ungulatus,114.709323
172,Stegodon trigonocephalus,112.339963
173,Deinonychus antirrhopus (pack of 5/6),111.719548
174,Orca Cow (Ross Sea - Type C),110.382963
175,American Lion (Coalition of 2),109.128469
176,Rhomaleosaurus spp.,108.707221
177,Wapiti Lake Grey Wolf Pack,108.086527
178,Nasutoceratops titusi,107.370651
179,Parasaurolophus spp.,106.325274
180,African (Cape) Buffaloes (2),100.265081
181,Platybelodon spp.,100.241913
182,Hippopotamus (cow),99.943480
183,Lion (Coalition of 3),96.850106
184,Oxalaia quilombensis,95.696010
185,False Killer Whale,95.632107
186,Northwestern Wolf (Pack of 8),95.067533
187,Leedsichthys problematicus,94.662351
188,Lioness (pride of 6),94.227452
189,Smilodon populator (pride of 2),93.780057
190,Savuti Pride,92.435294
191,Zygophyseter varolai,91.649923
192,Megacerops coloradensis,91.105221
193,Long-finned Pilot Whale,90.484787
194,Rhoetosaurus brownei,88.401702
195,Smilosuchus gregorii,87.341607
196,Archaic Humans (group of 3 - 5) armed with spear,85.834729
197,Majungasaurus crenatissimus,85.307274
198,Lion (Coalition of 3/4),84.918826
199,Saurosuchus galilei,84.784662
200,Tylosaurus nepaeolicus,84.282825
201,Hippopotamus gorgops,83.433551
202,American Lion (Coalition of 4),83.393456
203,Afrovenator abakensis,81.774132
204,Epicyon haydeni (pack of 5),81.459183
205,Helicoprion clerci,80.982920
206,Erythrosuchus africanus,80.730341
207,Lisowicia bojani,77.032130
208,Deinonychus antirrhopus (pack of 4),76.825118
209,Palaeoloxodon mnaidriensis,76.016160
210,Sibotherium ka,75.954481
211,Northern Elephant Seal,75.405202
212,Saivodus striatus,74.943290
213,Pleistocene North American Jaguar,73.955499
214,Anteosaurus magnificus,73.186012
215,Asian Elephant (cow),72.850976
216,Rajasaurus narmadensis,72.019800
217,Prestosuchus chiniquensis,70.562014
218,Nanuqsaurus hoglundi,69.037309
219,Diprotodon optatum,67.827012
220,Gorgosaurus libratus (pack of 2 -3),67.745565
221,Sinraptor dongi,66.021584
222,Pacific Walrus,66.020977
223,Dorudon serratus,66.009420
224,Carbonemys cofrinii,65.575254
225,Edmontosaurus Annectens,64.746394
226,Chilotherium wimani,63.739131
227,Rhizodus hibberti,63.034594
228,False Killer Whale (cow),62.961783
229,Black Rhinoceros,60.636246
230,Gorgosaurus libratus,60.004142
231,Arctodus simus,59.754300
232,Spotted Hyenas (clan of 6-8),59.385716
233,Utahraptor ostrommaysorum (pack of 2),58.900475
234,Ceratosaurus nasicornis,58.730339
235,Kentrosaurus aethiopicus,58.404264
236,Wood Bison (herd of 3),57.317288
237,Iguanodon bernissartensis,56.990961
238,Smilodon populator (pride of 4),56.951378
239,Hippopotamus,56.475575
240,Steppe Brown Bear,56.471323
241,Metriacanthosaurus parkeri,56.453968
242,Short-finned Pilot Whale,55.821652
243,Estemmenosuchus uralensis,55.742073
244,Alectrosaurus olseni,55.591915
245,Asiatic Lion (coalition of 2),55.528429
246,Daeodon shoshonensis,55.491474
247,Smilodon populator (coalition of 2),55.484602
248,Saltwater Crocodile,55.476312
249,African (Cape) Buffaloes (Herd of 4),54.858072
250,Lion (Coalition of 2/3),54.654025
251,Lion (Coalition of 4),54.591026
252,African Lion (Coalition of 2),54.018285
253,Simbakubwa kutokaafrika,53.932779
254,Carnotaurus sastrei,52.586971
255,African (Cape) Buffalo (herd of 3),52.231517
256,Arctodus simus (sow),52.016284
257,Jefferson's Ground Sloth,51.276701
258,Arctotherium angustidens,51.099911
259,Lion (Coalition of 2),50.985062
260,African (Cape) Buffalo (herd of 4),50.593705
261,Salmon Shark (salmon/river battle),50.320348
262,Siamotyrannus isanensis,50.299317
263,Antarctic (Southern) Minke Whale,49.342871
264,Gargoyleosaurus parkpinorum,49.201567
265,Aurochs,49.030790
266,Titanoboa cerrejonensis,48.641611
267,Edmontosaurus annectens,48.385734
268,Thanos simonattoi,48.026741
269,European Cave Bear,47.157646
270,Smok wawelski,47.047238
271,Megaraptor namunhuaiquii,46.771631
272,Greenland Shark,46.045453
273,Tenontosaurus tilletti,45.512075
274,Megalochoerus khinzikebirus,45.247400
275,Giant (Long-horned) Bison,45.050076
276,Pelorovis antiquus,44.306297
277,Dhole (Pack of 12),44.247926
278,Cryolophosaurus ellioti,43.915457
279,Dholes (Large Pack),43.852793
280,Shaochilong maortuensis,43.619280
281,Agriotherium africanum,43.320211
282,Bull Shark (in shallow water),43.202698
283,Aletopelta coombsi,42.642209
284,Machairodus lahayishupup,42.562096
285,Spotted Hyenas (clan of 4),42.545879
286,Epicyon haydeni (pack of 4),42.303688
287,Utahceratops gettyi,42.282693
288,Harlan's Ground Sloth,41.912792
289,Southern Elephant Seal,41.869136
290,Spotted Hyenas (clan of 10),41.412699
291,West African Lion,40.414482
292,Giant (Short-faced) Hyena (clan of 3),40.181910
293,Teratophoneus curriei,38.511180
294,Nile Crocodile,38.130171
295,Polar Bear,37.655298
296,Atlantic Walrus,36.902839
297,Lioness (pride of 2),36.616779
298,Gigantoraptor erlianensis,36.313412
299,Great White Shark (male),36.143897
300,Hesperosaurus mjosi,36.124959
301,Lion (coalition of 5),35.990273
302,Dire Wolf (pack of 5),35.843247
303,Tiger Shark,35.668912
304,Andrewsarchus mongoliensis,35.591982
305,Grey Wolf (pack of 10),35.324715
306,Pleistocene Polar Bear,35.140727
307,Metamynodon planifrons,34.885066
308,Megalania prisca,34.420368
309,Teratosaurus spp.,34.130276
310,Smilodon populator,33.866219
311,Sarkastodon mongoliensis,33.748240
312,Utahraptor ostrommaysorum,33.437496
313,Amphicyon ingens,33.042169
314,Tapinocephalus atherstonei,32.738217
315,Spotted Hyenas (clan of 5/6),32.296835
316,Acrophyseter deinodon,31.848716
317,Baryonyx walkeri,31.783037
318,Megistotherium osteothlastes,31.324113
319,Leptosuchus spp.,31.315390
320,Pygmy Mammoth,31.131044
321,Dire Wolf (pack of 8),30.879623
322,Inostrancevia alexandri,30.875932
323,Dromornis stirtoni,30.704278
324,Arctic Wolf (Pack of 8-10),30.555800
325,Coastal Brown Bear,29.964944
326,Florida Black Bear,29.857801
327,American Bison,29.415312
328,Xenosmilus hodsonae,29.370917
329,Whale Shark,29.262544
330,Mylodon darwini,28.250766
331,Ekrixinatosaurus novasi,28.126960
332,Machairodus horribilis,28.052821
333,Plains Bison,27.797665
334,Tiger,27.745517
335,Indian Gaur,27.554914
336,Herrerasaurus ischigualastensis,27.288074
337,Archelon ischyros,26.943345
338,Kodiak Bear,26.830861
339,Western Gorilla (troop of 3),26.817574
340,Megalochelys atlas,26.805520
341,Lion (Pride of 10),26.662555
342,European Hippopotamus,26.478628
343,Borneo Pygmy Elephant,26.119226
344,Giant (Short-faced) Hyena (clan of 5),26.086176
345,Equus giganteus,26.036963
346,Percrocuta spp. (clan of 4/5),25.984462
347,Walrus,25.197198
348,Giraffe,25.087709
349,Grey Wolf (Pack of 8/9),25.008365
350,Barbourofelis fricki,24.845873
351,American Lion,24.732763
352,Phoberomys pattersoni,24.624373
353,Northwestern Wolf (pack of 7/8),24.578048
354,African Wild Dog (pack of 12),24.497003
355,Dire Wolves (pack of 3),24.298828
356,Sumatran Rhinoceros,24.284903
357,Quinkana fortirostrum,23.480521
358,Quercylurus major,23.214049
359,Postosuchus kirkpatricki,23.086910
360,Smilodon fatalis,22.961718
361,Aurochs (Pleistocene),22.885825
362,Inland Grizzly Bear,22.874026
363,Grey Wolves (pack of 3),22.624363
364,Sivatherium giganteum,22.310694
365,Xiphiorhynchus rotundus,22.005988
366,(Wild) Water Buffalo,21.999025
367,Rugops primus,21.780835
368,Dakotaraptor steini,21.535492
369,Epicyon haydeni (pack of 3),20.860368
370,Mourasuchus amazoniensis,20.537389
371,Wood Bison,20.532622
372,Alioramus remotus,20.263024
373,Neanderthals (3) (armed with spears),20.085715
374,Pseudocyon sansaniensis,19.796584
375,Southern Bottlenose Whale,19.723902
376,Deinonychus antirrhopus (pack of 3/4),19.689276
377,American Crocodile,19.614421
378,Ussuri Brown Bear,19.571124
379,Grey Wolf (Pack of 3/4 adults),19.325374
380,Narwhal,19.319452
381,Megalosaurus bucklandii,19.270188
382,Irish Elk,19.222574
383,Western Moose,19.105491
384,Alaskan Penisula Brown Bear,19.101946
385,Broad-fronted Moose,18.747648
386,Smilodon fatalis (female),18.662790
387,Dhole (Pack of 10),18.399554
388,Florida Short-faced (Cave) Bear,18.349238
389,Dinofelis spp.,18.315608
390,Gigantopithecus blacki (coalition of 2),18.207089
391,Asiatic Lioness (pride of 2),18.038174
392,Shortfin Mako Shark,17.877150
393,Spotted Hyenas (clan of 6),17.856420
394,Grey Wolf (Pack of 5),17.530861
395,Pleistocene Jaguar,17.502431
396,Ophthalmosaurus icenicus,17.459682
397,Ancient Bison,17.443294
398,Kerberos langebadreae,17.308333
399,Mastodonsaurus spp.,17.238391
400,Steller's (Northern) Sea Lion,17.049247
401,American Alligator,16.993972
402,Polar Bear (sow),16.912058
403,Orca (female),16.865216
404,Kamchatka Brown Bear,16.671328
405,Giant Beaver,16.621636
406,Syrian Brown Bear,16.531086
407,Rubidgea atrox,16.471496
408,Pacific Sleeper Shark,16.421458
409,African Wild Dog (pack of 8),16.301432
410,Barbary Lion,16.024009
411,Aurochs (Holocene),16.009390
412,Lion,15.988556
413,Hyaenodon gigas,15.987219
414,European Jaguar,15.863335
415,Amphicyon frendens,15.778914
416,Woods Bison,15.613429
417,Broad-fronted (Giant) Moose,15.449504
418,Dinocrocuta gigantea (clan of 3),15.404186
419,Atlas Bear,15.306814
420,Ngandong Tiger,15.285969
421,Gaur,15.213038
422,American Scimitar,15.172985
423,Orinoco Crocodile,15.150685
424,Megantereon cultridens,15.069685
425,Brown Hyena (clan of 2),15.032736
426,Grizzly Bear,15.002422
427,Wanhsien Tiger,14.904597
428,Kubanochoerus gigas,14.778733
429,Tibetan Mastiffs(2),14.696073
430,African (Cape) Buffalo,14.624242
431,Wild Yak,14.608791
432,Kodiak bear,14.565477
433,Arabian Wolf (pack of 5/6),14.395716
434,Glyptodon clavipes,14.186138
435,Amphicyon major,14.138739
436,Achillobator giganticus,14.034806
437,Spotted Hyena (clan of 3),13.993436
438,Sillosuchus longicervix,13.813559
439,Neovenator salerii,13.790716
440,Dilophosaurus wetherilli,13.774523
441,Dakosaurus maximus,13.724486
442,Arctic Wolf (Pack of 2),13.582875
443,Deuterosaurus spp.,13.543648
444,Harpagolestes immanis,13.482774
445,Grey Wolf (Pack of 4),13.450458
446,Eurasian Brown Bear,13.437368
447,Mexican Grizzly Bear,13.324879
448,Trinil Tiger,13.314242
449,Bluntnose Sixgill Shark,13.310034
450,Shortfin Mako,13.266898
451,European Scimitar,13.170427
452,Megantereon whitei,13.138349
453,Interior Grizzly Bear,12.911745
454,East Siberian Brown Bear,12.895350
455,Epicyon haydeni (pack of 2),12.865854
456,Basking Shark,12.835587
457,Proborhyaena gigantea,12.828688
458,Chianina,12.816479
459,Ischigualastia jenseni,12.708691
460,Northwestern Wolf (pack of 2),12.670243
461,Iberian (Spanish) Fighting Bull,12.545652
462,Atlantic Blue Marlin,12.395303
463,Southern Elephant Seal (cow),12.225213
464,Giant (Short-faced) Hyena (clan of 4),12.221624
465,Dire Wolf (pack of 2),12.115205
466,Cyldesdale (Draught Horse),11.948158
467,Bully Kuttas (3),11.924277
468,Grey Wolf (Pack of 4/5),11.847013
469,Pelorovis spp.,11.728233
470,Banteng,11.721731
471,Alaskan Moose,11.672152
472,Collared Peccary (Javelina) (pack of 4),11.648740
473,Elasmosaurus platyurus,11.582678
474,Rauisuchus tiradentes,11.561276
475,Marshosaurus bicentesimus,11.395906
476,Amphimachairodus kabir,11.336584
477,Gryposuchus croizati,11.313209
478,Kodiak Bear (sow),11.299637
479,Cinnamon Black Bear,11.145055
480,Eremotherium spp.,11.096971
481,Dogo Argentino (pack of 3/4),11.076999
482,Caucasian Shepherd Dogs (2),11.066795
483,Clymene (Short-snouted Spinner) Dolphin,11.020243
484,Cheetah (coalition of 4),10.989633
485,Northwestern Wolf (pack of 6),10.965401
486,Xiphactinus audax,10.943030
487,Brown Bear,10.941205
488,Eurasian Cave Lion,10.929229
489,Grey Wolf (Pack of 6),10.912813
490,Common Chimpanzee (troop of 15),10.843575
491,Velociraptor mongoliensis (pack of 12),10.843575
492,European Bison (Wisent),10.809572
493,Josephoartigasia monesi,10.786954
494,Natodomeri Lion,10.719581
495,Eastern Gorilla (troop of 3 - 4),10.647511
496,Swordfish,10.646464
497,Gastornis gigantea (2),10.610901
498,Monolophosaurus jiangi,10.599571
499,Walrus (Bull),10.580021
500,Shire Horse,10.520752
501,Giant Otter Romp (5 - 6),10.482176
502,Europasaurus holgeri,10.478044
503,Orkoraptor burkei,10.473429
504,Bengal Tigress,10.467179
505,Giant Otter Romp (8),10.346725
506,Pygmy Sperm Whale,10.345579
507,Gigantophis garstini,10.292732
508,Cave Hyena (clan of 2),10.248482
509,Siberian Tiger,10.160022
510,Dinocrocuta gigantea,10.151464
511,Black Caiman,10.133492
512,Aucasaurus garridoi,10.062848
513,Beluga,9.872164
514,Indochinese Tiger,9.851991
515,Archaeotherium mortoni,9.827138
516,Patagonian Panther,9.810244
517,Himalayan Black Bear,9.740847
518,Rhabdodon spp.,9.710336
519,Mugger (Marsh) Crocodile,9.643466
520,Early Middle Pleistocene European Cave Lion,9.576095
521,Eastern Gorilla (coalition of 3),9.516152
522,Holmesina septentrionalis,9.311100
523,Batrachotomus kupferzellensis,9.266705
524,Bengal Tiger,9.140624
525,Hatzegopteryx thambema,9.100397
526,African Lion,9.025130
527,Dire Wolf (pack of 3),8.941891
528,Marsupial Lion,8.889745
529,Nile Crocodile (female),8.718931
530,Bull Shark,8.656241
531,Gojirasaurus quayi,8.650955
532,Archaeoindris fontoynonti (2),8.643852
533,Cymbospondylus buchseri,8.457706
534,African Wild Dog (pack of 10),8.450872
535,Grizzly Bear (sow),8.189014
536,European Ice Age Leopard,8.096475
537,Proterosuchus spp.,8.041078
538,Ussuri Brown Bear (sow),8.007185
539,Morelet's Crocodile,7.995064
540,Asiatic Lion,7.953600
541,Himalayan Brown Bear,7.850166
542,Belgian Blue,7.740679
543,Barren Ground Grizzly Bear,7.646187
544,Western Lowland Gorilla (male troop of 2),7.610603
545,Northwestern Wolf (pack of 2/3),7.577099
546,Spotted Hyenas (clan of 3),7.556156
547,Quetzalcoatlus northropi,7.534744
548,Armadillosuchus arrudai,7.508153
549,Pachycephalosaurus wyomingensis,7.497395
550,Moros intrepidus (pack of 2),7.436795
551,Snow Leopard (mating pair),7.435177
552,Kaprosuchus saharicus,7.322328
553,Chapalmalania altaefrontis,7.311762
554,Tiger Shark (female),7.290506
555,Lioness,7.288510
556,Enhydriodon omoensis,7.164507
557,Saltwater Crocodile (cow),7.089738
558,Caspian Tiger,7.069165
559,Brontornis burmeisteri,7.038555
560,Trochosuchus acutus,7.017213
561,Leopard Seal,7.010603
562,Gallimimus bullatus,6.985130
563,Akita Inu (pack of 5),6.938073
564,Dhole (Pack of 6),6.938073
