rank,animal,power
721,Neanderthal (armed),2.712343
722,Deinonychus antirrhopus (pack of 2),2.712343
723,South Asian River Dolphin,2.712343
724,Collared Peccary (Javelina) (squadron of 6),2.696914
725,Takin,2.694077
726,O'Halloran Hounds (2),2.683700
727,Tamaraw (Mindoro Pygmy Buffalo),2.678364
728,American Black Bear (sow),2.644702
729,Tule Elk,2.640213
730,Leopard,2.635484
731,Secodontosaurus obtusidens,2.630728
732,Leopard (male),2.623722
733,Cougar,2.616211
734,Giant Blue Robber Fly,2.583519
735,House Pseudoscorpion,2.583519
736,Pike Pirahna,2.583519
737,Striped Dolphin,2.583519
738,Australian Emporer Dragonfly,2.579004
739,False Gharial,2.530160
740,Maraapunisaurus fragillimus,2.530049
741,Kiang,2.493343
742,Giant Teratorn (flock of 3),2.478913
743,Phorusrhacos longissimus,2.469479
744,Wild Horse,2.469014
745,Giant (Short-faced) Hyena,2.457366
746,Proterosuchus fergusi,2.452062
747,Bald-faced Hornet,2.440555
748,Sable Antelope,2.418056
749,Megalictis ferox,2.404336
750,Koolasuchus cleelandi,2.392173
751,Indo-Pacific Bottlenose Dolphin,2.336680
752,African Leopard,2.332010
753,Spectacled Bear,2.326966
754,Lioness (pride of 5 -7),2.322280
755,Kangals (3),2.308524
756,Common Kestrel,2.306392
757,Painted Moray,2.306392
758,Eurasian Wolf (Dog),2.306392
759,Giant Devil (Goonch) Catfish,2.306392
760,Mountain Tapir,2.266009
761,Coyote (pack of 4/5),2.264678
762,Cheetah (coalition of 5),2.264245
763,Eastern Gorilla,2.259564
764,Basilosaurus spp.,2.238082
765,Nile Crocodile (Cow),2.238082
766,Mountain Zebra,2.220100
767,Ohmdenosaurus liasicus,2.219956
768,European Cave Bear (sow),2.218781
769,Morelet s Crocodile,2.211292
770,Persian Leopard,2.179511
771,Bullockornis planei,2.178639
772,Sambar Deer,2.178557
773,Dark Mantis Shrimp,2.176727
774,Australian Freshwater Crocodile,2.167734
775,Macrauchenia patagonica,2.162265
776,Eastern Subterranean Termite (Soldier),2.158508
777,Indochinese Leopard,2.157194
778,Dogo Argentinos (2),2.151484
779,Dogo Argentino (pack of 6),2.143300
780,Western Camel,2.141913
781,African Wild Dog (pack of 3),2.112170
782,Plains (Common) Zebra,2.106383
783,Mountain Gorilla,2.105461
784,Homo floresiensis (unarmed),2.097869
785,Chacma Baboon (troop of 6),2.094863
786,Bucktooth Tetra,2.089024
787,Crown-of-Thorns Starfish,2.089024
788,Portuguese Man o' War,2.089024
789,Ravine Trapdoor Spider,2.089024
790,Stone (Brown) Centipede,2.089024
791,Yellow-throated Martens (richness of 3/4),2.089024
792,Brazilian Porcupine,2.089024
793,Cretan Dwarf Mammoth,2.089024
794,West African Lungfish,2.089024
795,Florida Panther,2.054685
796,German Shepherds (3),2.048664
797,African Wild Dog (pack of 8 - 10),1.998586
798,Brazilian Dogo (pack of 4),1.996915
799,Western Scrub Jay,1.991481
800,Owen's Panther,1.981969
801,Boerboels (2),1.981708
802,Central American Snapping Turtle,1.975533
803,Amur Leopard,1.964679
804,Cheetah (female),1.956500
805,Dire Wolf (Eastern subspecies),1.954558
806,Spotted Hyena (Serengeti male),1.922480
807,Nilgai,1.905887
808,Komodo Dragon,1.894772
809,Common Green Darner,1.892023
810,Sandbar Shark,1.887427
811,Largetooth Sawfish,1.872326
812,European Hornet,1.870064
813,North American Cougar (female),1.844609
814,Kermode Bear,1.840396
815,Percrocuta spp.,1.827129
816,Spotted Hyenas (2),1.826865
817,Dingo (pack of 5),1.820204
818,Einiosaurus procurvicornis,1.818018
819,Giant Asian Mantis,1.818018
820,Tosa Inus (3),1.817278
821,Eastern Pondhawk,1.813747
822,Brazilian Wandering Spider,1.811557
823,Carrion Crow (murder of 3),1.811557
824,European Sturgeon (Beluga),1.811557
825,Gray Four-eyed Opossum,1.811557
826,Meraxes gigas,1.811557
827,Smooth Newt,1.811557
828,South China Tiger,1.811557
829,Barbary Stag,1.811557
830,Blue Petrel,1.811557
831,Omus dejeani,1.811557
832,Common Chimpanzee (troop of 5),1.809129
833,Caucasian Shepherd Dogs (6),1.781630
834,Mapusaurus roseae (Pack of 7),1.760488
835,Great Tit,1.756105
836,Asiatic Black Bear (sow),1.755507
837,Mountain Lioness,1.739904
838,American Mammoth Jackstock (Donkey),1.736879
839,Ysengrinia spp.,1.736879
840,Devil's Coach-horse Beetle,1.731068
841,Manticora imperator,1.728240
842,Microleo attenboroughi,1.728240
843,Spiny Dogfish,1.728240
844,Green Anaconda,1.720364
845,Wild Boar,1.693783
846,Shiras' Moose,1.689292
847,Arabian Fat-tailed Scorpion,1.680150
848,Mexican Jaguaress,1.674889
849,Presa Canarios (2),1.669061
850,African Golden Wolves (pack of 4),1.653843
851,Cougar (male from New Mexico),1.646836
852,Iriomote Cat,1.645784
853,Alaskan Moose (cow),1.643265
854,Prairie Yellowjacket,1.643265
855,Two-spotted Ground Beetles (2),1.643265
856,Bengal Cat,1.643265
857,Cynthiacetus maxwelli,1.643265
858,Epomis dejeani,1.643265
859,European Badger,1.643265
860,Lythronax argestes,1.643265
861,White-lipped Peccary (group of 2/3),1.642208
862,Bongo,1.640239
863,Blikanasaurus cromptoni,1.636733
864,Bullet Ant,1.621937
865,Inostrancevia latifrons,1.620002
866,Burrunan Dolphin,1.611678
867,Otodus auriculatus,1.605948
868,Texas Brown Tarantula,1.605948
869,Mountain Anoa,1.590777
870,Bobbit Worm,1.578799
871,Collared Peccary (Javelina) (pack of 3),1.571318
872,Peacock Mantis Shrimp,1.570415
873,Sri Lankan Sloth Bear (sow),1.569412
874,Sand Tiger (Grey Nurse) Shark,1.567662
875,Indian Gharial (Gavial),1.549994
876,Black Wildebeest (White-tailed Gnu),1.543852
877,White-lipped Peccary (group of 5),1.541488
878,Australian Box Jellyfish (Sea Wasp),1.535891
879,Eastern Gorilla (Silverback),1.535181
880,Cougar (female),1.525838
881,Giant Vinegaroon,1.499453
882,Lion (Coalition of 5),1.499453
883,Spotted Hyena (clan of 4),1.499254
884,Brazilian Puma,1.499060
885,Spectacled Caiman (female),1.499060
886,Giant Anteater (female),1.499060
887,Hesperocyon spp. (pack of 2),1.497083
888,Boomslang,1.497083
889,Microtityus jaumei,1.497083
890,Water Bug,1.497083
891,Rocky Mountain Elk,1.494999
892,Ankylorhiza tiedemani,1.493186
893,Geosaurus spp.,1.493186
894,Grey Butcherbird,1.493186
895,Hemicyon sansaniensis,1.493186
896,Brown (Norway) Rat (female),1.493186
897,Concavenator corcovatus,1.493186
898,Cretan Deer,1.493186
899,Eastern Screech Owl,1.493186
900,Hurdia victoria,1.493186
901,New Guinea Crocodile,1.493186
902,Odontomachus monticola,1.493186
903,Prairie Yellowjackets (6),1.493186
904,Spotted Eagle Ray,1.485947
905,Giant Cheetah,1.476842
906,Homo erectus (armed with spear),1.475918
907,American Cheetah,1.460963
908,Etruscan Shrew,1.460022
909,Running Hyena,1.449414
910,Giant Teratorn (flock of 2),1.449307
911,Cheetah (coalition of 3/4),1.443280
912,Greater Kudu,1.442834
913,Dire Wolf,1.441244
914,Plionarctos edensis,1.436534
915,Common Quail,1.427523
916,Amazon (Boto) River Dolphin,1.424974
917,Homo floresiensis (group of 4) (armed with clubs),1.424365
918,Lake Darner,1.422334
919,Hyneria lindae,1.420017
920,Giant Squid,1.415530
921,Argali (Mountain Sheep),1.407646
922,American Scimitar (coalition of 2),1.403014
923,Red-Bellied Piranha,1.397349
924,Common Chimpanzee (troop of 3),1.394682
925,Northern Caiman Lizard,1.389632
926,English Mastiffs (2/3),1.386512
927,Green Tiger Beetle,1.381706
928,Atlantic Goliath Grouper Fish,1.376841
929,Giant Otter Romp (3),1.370511
930,Spotted Hyena,1.359449
931,Auvergne Bear,1.357239
932,Harp Seal,1.354602
933,Sun Bear,1.348625
934,Rainbow Lorikeet,1.345416
935,Lappet-faced Vultures (venue of 5),1.342128
936,Velociraptor mongoliensis (pack of 4),1.333488
937,Simocyon batalleri,1.323236
938,Wolf Cichlid,1.323130
939,Indian Boar,1.322492
940,Dogo Argentino (pack of 2),1.316473
941,Macroeuphractus outesi,1.314168
942,Fila Brasileiro (Pack of 3),1.310883
943,Glacier Bear,1.307733
944,Ruby-throated Hummingbird,1.289125
945,Dwyer's Snake,1.288047
946,Water Deer,1.288047
947,Great Diving Beetle,1.288047
948,Argentinosaurus huinculensis,1.279323
949,Suskityrannus hazelae,1.272017
950,Elk,1.265192
951,Snow Leopardess,1.263472
952,Haast's Eagles (2),1.261699
953,Humans (2),1.256312
954,Roan Antelope,1.255410
955,Livestock Gaurdian Donkey,1.251088
956,Spotted Hyena (male),1.247637
957,Giant Triton,1.244509
958,Kangals (2),1.237295
959,Himalayan Wolves (pack of 2 - 3),1.237271
960,African Wild Ass,1.235927
961,Northwestern Wolf (pack of 5),1.228257
962,Sloth Bear (sow),1.211891
963,Blackspot Shark,1.211891
964,Jaragua Dwarf Gecko,1.211891
965,Chacma Baboon (troop of 5),1.206565
966,American Bulldogs (pack of 3),1.204922
967,Blue (Common) Wildebeest,1.200250
968,Cookiecutter Shark,1.187811
969,Fire Salamander,1.187811
970,Southern River Otter,1.187811
971,Cyprus Dwarf Elephant,1.184360
972,African Tigerfish,1.171376
973,Indian Wolf (pack of 3/4),1.167895
974,Giant Panda,1.164612
975,Pleistocene African Lion,1.164208
976,Nimravus brachyops,1.162203
977,Coyote (pack of 4),1.157068
978,Red Deer,1.155172
979,Lesser Stripetail Scorpion,1.152324
980,Daphoenodon spp.,1.146011
981,Sauroposeidon proteles,1.141104
982,Neanderthal (unarmed),1.140922
983,Dhole (Pack of 6/7),1.121927
984,American Foxhound (pack of 4),1.120569
985,Velociraptor mongoliensis (pack of 3),1.116411
986,Boverisuchus magnifrons,1.111960
987,Thylacine (hunting pair),1.106556
988,Lappet-faced Vulture (venue of 3),1.103383
989,African Rock Python,1.095502
990,Bush Dog (pack of 8),1.083917
991,Red Bull Ant,1.081137
992,Komodo Dragon (male),1.080047
993,Indian Leopard,1.078420
994,Tosa Inus (2),1.073336
995,Cowtail Stingray,1.071088
996,Liliensternus liliensterni,1.069626
997,Brazilian she-Puma,1.066171
998,Giant Short-faced Kangaroo,1.061739
999,(Eastern) Black Carpenter Ant,1.053452
1000,African Crowned Eagle (female),1.053452
1001,Alaskan Moose (bull),1.053452
1002,Arizona Bark Scorpion,1.053452
1003,Atlantic Sailfish,1.053452
1004,Australian (Common) Blue-tongued Skink,1.053452
1005,Beringian Wolf,1.053452
1006,Bluff Downs Giant Python,1.053452
1007,Bornean Tiger,1.053452
1008,Eastern Barred Bandicoot,1.053452
1009,Eodromaeus murphi,1.053452
1010,Eoraptor lunensis,1.053452
1011,Eurasian Hoopoe,1.053452
1012,European Bee-eater,1.053452
1013,European Green Woodpecker,1.053452
1014,European Hedgehog,1.053452
1015,Giant Green Anemone,1.053452
1016,Greater Banded Hornet,1.053452
1017,Green Kingfisher,1.053452
1018,Harpy Eagle (male),1.053452
1019,Land Mullet,1.053452
1020,Lion's Mane Jellyfish,1.053452
1021,Miracinonyx trumani,1.053452
1022,Mountain Bluebird (flock of 5),1.053452
1023,North American Wheel Bug,1.053452
1024,Pterygotus grandidentatus,1.053452
1025,Sambir Lion,1.053452
1026,Shining Bronze-cuckoo,1.053452
1027,Six-spot Ground Beetle,1.053452
1028,Tartarocyon cazanavei,1.053452
1029,Titanophoneus potens,1.053452
1030,Titanosuchus ferox,1.053452
1031,Wood Bison (cow),1.053452
1032,Magnificent Sea Anemone,1.024774
1033,Atlantic Portuguese Man o' War,1.024402
1034,Tibetan Mastiffs (2),1.006681
1035,Plains (Common) Zebra (Stallion),1.005138
1036,Kangals (5),1.003318
1037,Rottweilers (3),1.003263
1038,Bipalium kewense,1.000456
1039,Vaquita,0.999544
1040,Himalayan Wolf (pack of 2),0.998818
1041,Mbu Puffer,0.998772
1042,Leopardess,0.998693
1043,American Bald Eagles (2),0.998494
1044,Ursavus elmensis,0.988863
1045,Giganotosaurus carolinii (pack of 3),0.972532
1046,Giant Otter Romp (2/3),0.968387
1047,Mandrill (coalition of 2),0.968013
1048,Eurasian Lynx (male),0.963834
1049,Red-footed Cannibalfly,0.963418
1050,Bearded (Square Flipper) Seal,0.959574
1051,Dhole (Pack of 3),0.959526
1052,Dhole (Pack of 4),0.959507
1053,Spotted Hyenas (clan of 5),0.953232
1054,Stone Centipede,0.942733
1055,Synoplotherium vorax,0.939196
1056,European Medicinal Leech,0.934291
1057,Guineafowl Puffer,0.934291
1058,Megapiranha paranensis,0.934291
1059,European Dwarf Mantis,0.931357
1060,Giant Forest Ant,0.930593
1061,Kitti's Hog-nosed Bat,0.929067
1062,Common Chimpanzee (troop of 2),0.917627
1063,Colorado Potato Beetle,0.915726
1064,Titan Triggerfish,0.915726
1065,Cantabrian Brown Bear (sow),0.915726
1066,Black Mouth Curs (2),0.912814
1067,Mishmi Takin,0.896942
1068,Neanderthal (both unarmed),0.889158
1069,Snow Leopard,0.885495
1070,Mangrove Snapper,0.884657
1071,Blue-eyed Darner,0.880336
1072,Cheetah (male),0.878342
1073,Cheetah (coalition of 2),0.877162
1074,Common Warthog (sow),0.876476
1075,Giant Trevally,0.874119
1076,Indian Crested Porcupine,0.866059
1077,Fang's Pufferfish,0.861584
1078,Australian Giant Mantis,0.861584
1079,Nuralagus rex,0.861584
1080,Oculudentavis khaungraae,0.860863
1081,Desert Warthog,0.860244
1082,Giant Grouper,0.859980
1083,Belgian Malinois (2),0.857735
1084,Dwarf Sperm Whale,0.855688
1085,Dromaeosauroides bornholmensis,0.852346
1086,Eastern Gorilla (female),0.852328
1087,African Wild Dog (pack of 2),0.851834
1088,Common Warthog,0.843433
1089,Ocellated Skink,0.834935
1090,Galgo Patagonico,0.834924
1091,Megarian Banded Centipede,0.833380
1092,Maine Coon Cat,0.833161
1093,Reticulated Python,0.824156
1094,Eurasian Wolf,0.821206
1095,Atlantic Torpedo,0.819252
1096,Iberian Wolf,0.818453
1097,Gastornis gigantea,0.807962
1098,Tundra Wolf,0.800860
1099,Blue Shark,0.798921
1100,Common Chimpanzee (troop of 4),0.796091
1101,Tusotheuthis longa,0.794444
1102,Wonambi naracoortensi,0.792730
1103,Steppe Bison,0.790983
1104,Staghounds (2),0.783367
1105,Red River Hog,0.781500
1106,East European Shepherds (2),0.780045
1107,Golden-ringed Dragonfly,0.776081
1108,Lowland Anoa,0.767764
1109,Asiatic Cheetah (coalition of 3 - 4),0.767104
1110,Sea Gooseberry,0.763835
1111,Alioramus altai,0.743217
1112,Balearic Islands Cave Goat,0.743217
1113,Black Rat (male),0.743217
1114,Eastern Grey Squirrel,0.743217
1115,Emerald Cuckoo Wasp,0.743217
1116,Hall's New Guinea Crocodile,0.743217
1117,Rosecone Cuttlefish,0.743217
1118,Texas Horned Lizard,0.743217
1119,Grey Shrikethrush (mated pair),0.743217
1120,Kyhytysuka sachicarum,0.743217
1121,Metriorhynchus brevirostris,0.743217
1122,Mukupirna nambensis,0.743217
1123,Brown Hyena,0.742924
1124,Goliath Tigerfish,0.741639
1125,Four-toed Hedgehog,0.741282
1126,Jack Jumper Ant,0.741282
1127,Predaceous Diving Beetle,0.741282
1128,Hyracotherium leporinum,0.741282
1129,Hyaenodon horridus,0.740615
1130,Giant Otter (Boar),0.740304
1131,Broad-snouted Caiman,0.740304
1132,Tasmanian Giant Crab (male),0.740304
1133,Chasmosaurus belli,0.740110
1134,Giant Black Camel Spider,0.740110
1135,Dinopithecus ingens (troop of 3),0.739060
1136,Little Fire Ants (2 - 3),0.738564
1137,Red Imported Fire Ant,0.733335
1138,African Leopard (Congo),0.722885
1139,Northwestern Wolf,0.716571
1140,Patriofelis ferox,0.716409
1141,Rhodesian Ridgebacks (2),0.708516
1142,Boston Terrier,0.708288
1143,Sun Bear (boar),0.707119
1144,Yacare Caiman,0.704474
1145,Brown Fur Seal,0.700168
1146,Borophagus parvus,0.697476
1147,Marimbondo-tatu,0.692114
1148,Western Black Widow Spider,0.692114
1149,Basilosaurus isus,0.691031
1150,Common Garter Snake,0.691031
1151,Rottweilers (2),0.690403
1152,Dingo (pack of 3/4),0.689785
1153,Arabian Leopard,0.686975
1154,Ganges Shark,0.685789
1155,Grey Wolf,0.679730
1156,Bighorn Sheep,0.676552
1157,Albertonectes vanderveldei,0.675338
1158,Denversaurus schlessmani,0.675338
1159,Eurasian (European) Beaver,0.675338
1160,Grivet,0.675338
1161,House Centipede,0.675338
1162,Dromedary (Arabian) Camel (cow),0.675338
1163,Giant Northern Termite,0.675338
1164,Stygian Robber,0.675338
1165,East Timor Giant Rat,0.674305
1166,American Black Bear (sow from Montana),0.673874
1167,Mainland Serow,0.671521
1168,Great Grey (Northern) Shrike,0.667570
1169,East Indian Harvesting Ants (2),0.666698
1170,Texas Longhorn,0.660913
1171,Common Thresher Shark,0.660647
1172,Western Gorilla (female),0.660125
1173,Northern Fur Seal,0.657638
1174,Pampas Fox,0.655630
1175,Cape Leopard,0.644895
1176,Australian Giant Cuttlefish,0.642133
1177,Numbat,0.642133
1178,Saga pedo,0.642133
1179,Baird s Beaked Whale,0.641593
1180,Alpine Mastiff,0.641021
1181,South Island Giant Moa,0.635341
1182,West Caucasian Tur,0.631898
1183,Greater Blue-ringed Octopus,0.622731
1184,Himalayan Wolf,0.622483
1185,South American (Brazilian) Tapir,0.620229
1186,Honey Badger (male),0.619957
1187,Asiatic Cheetah,0.619824
1188,African Leopardess,0.616400
1189,Wakaleo vanderleuri,0.616323
1190,Barbary Sheep,0.612600
1191,Common Tern,0.612600
1192,Megacephala virginica,0.612600
1193,Common Buzzard,0.612600
1194,Domestic Yak,0.612600
1195,Horse-leech,0.612600
1196,Kaluga Sturgeon,0.612600
1197,Mombasa Golden Starburst Tarantula,0.612600
1198,Painted Coral Snake,0.612600
1199,Torvosaurus gurneyi,0.612600
1200,Greater Arid-land Katydid,0.610423
1201,Diabloceratops eatoni,0.610423
1202,Cimarr n Uruguayo (2),0.609690
1203,Chain Pickerel,0.602059
1204,Bush Dog (pack of 4),0.599934
1205,Anatolian Shepherd Dog,0.596375
1206,House Sparrow,0.593371
1207,Pasimachus depressus,0.586077
1208,Dwarf Crocodile,0.585603
1209,Burmese Python,0.584913
1210,Sun Bear (sow),0.577306
1211,Brown Hyena (male),0.577255
1212,Dingo (pack of 2/3),0.574559
1213,Chacma Baboon (troop of 2),0.574030
1214,American Robin,0.568821
1215,Olive Baboon (troop of 4),0.568101
1216,Synthetoceras tricornatus,0.563724
1217,Northern Boa,0.561752
1218,White-tailed Deer,0.559046
1219,Malayan Tapir,0.556926
1220,Bushpig,0.555313
1221,Indian Pangolin,0.552846
1222,Spectacled (Common) Caiman,0.550496
1223,Northern Quoll,0.548420
1224,Electric Eel,0.539763
1225,Spotted Hyena (large female),0.539670
1226,Reindeer (Caribou),0.539066
1227,Cape Leopardess,0.534376
1228,Archaic Human,0.531906
1229,American Hog-nosed Skunk,0.531234
1230,Punganur Dwarf Cattle (Bull),0.531234
1231,Wallago Catfish,0.531234
1232,Beroid Comb Jelly,0.531234
1233,Chinese Goral,0.531234
1234,Giant Water Bug,0.531234
1235,Morning Sun Star,0.531234
1236,Red-headed Mouse Spider,0.531234
1237,Woodlouse Spider,0.531234
1238,Clouded Leopardess,0.531214
1239,Saint Bernard,0.530372
1240,Fisher (male),0.528994
1241,Neanderthal,0.528286
1242,Mountain Goat,0.528195
1243,Siberian Husky (3),0.524612
1244,Striped Hyena,0.521697
1245,East African Wild Dog,0.514617
1246,Caracal (female),0.514207
1247,Moros intrepidus,0.513987
1248,Homo floresiensis (armed with a spear),0.512185
1249,Olive Baboon (troop of 6),0.500565
1250,Dimetrodon angelensis,0.495853
1251,Orca,0.495853
1252,Baird's Tapir,0.493757
1253,Dusky Dolphin,0.491502
1254,Giant Otter Romp (4),0.485369
1255,Jagdterriers (pack of 2),0.485200
1256,Arctic Wolf,0.485198
1257,Dutch Shepherd (pack of 3),0.482415
1258,Swamp Darner,0.482283
1259,Northwestern She-wolf,0.481167
1260,West Indian Ocean Coelacanth,0.481167
1261,Flat Needlefish,0.481167
1262,Western Jackdaw,0.481167
1263,American Feral Pig,0.481119
1264,English Mastiff,0.480916
1265,Spatterdock Darner,0.480162
1266,Northern Elephant Seal (Bull),0.477875
1267,Giant Pangolin,0.477416
1268,German Shepherds (2),0.472458
1269,Bornean Orangutan,0.470048
1270,Jaekelopterus rhenaniae,0.465057
1271,Yellow Anaconda,0.463779
1272,Pleistocene Coyote,0.463660
1273,Woodward's Eagle,0.461434
1274,Bush Dog (pack of 6/7),0.459832
1275,Sphenacodon ferox,0.459459
1276,Tayras (5),0.457565
1277,American Akitas (2),0.456522
1278,Snowshoe Hare,0.452834
1279,Giant Anteater,0.452273
1280,Anachlysictis gracilis,0.441158
1281,Clouded Leopard (male),0.434483
1282,Bullmastiff,0.433723
1283,Bully Kutta,0.430385
1284,Bed Bug,0.429554
1285,Blue Whale Catfish,0.429554
1286,La Plata Dolphin (pod of 3),0.429554
1287,Red Paper Wasp,0.429554
1288,Steppe Wolf,0.421348
1289,Bush Dog (pack of 7),0.419707
1290,Human (male),0.418169
1291,Arapaima (Pirarucu),0.416738
1292,Dinopithecus ingens,0.414935
1293,Coastal Carpet Python,0.414083
1294,Borophagus diversidens,0.413998
1295,African Wild Dog (pack of 7),0.412837
1296,Central Asian Shepherd Dog (Alabai),0.412410
1297,Central European Boar,0.410801
1298,Rocky Mountain Bighorn Sheep,0.410322
1299,Saint Bernards (2),0.409410
1300,Gastornis parisiensis,0.409152
1301,Sea Otter (Romp of 2),0.409152
1302,Coelophysis bauri (pack of 3),0.409152
1303,Asiatic Golden Cat,0.405728
1304,Indian Python,0.404860
1305,Ostrich,0.397571
1306,Eastern Coyote (Coywolf),0.396890
1307,Brown hyena,0.396080
1308,Blacktip Shark,0.395824
1309,Dhole (Pack of 2),0.385709
1310,Lystrosaurus maccaigi,0.383218
1311,Mexican Wolf (pack of 2),0.382685
1312,Dogo Argentino,0.375462
1313,Giant Armadillo,0.375194
1314,Alano Espa ol,0.373156
1315,Neanderthal (pack of 4),0.372390
1316,Human,0.372323
1317,Obdurodon tharalkooschild,0.368247
1318,Bush Dog (pack of 5),0.363624
1319,Egyptian Mongoose,0.355773
1320,Key Deer (Doe),0.355374
1321,Human (strong male),0.354679
1322,Alligator Gar,0.349464
1323,Marsh Deer,0.349198
1324,Coyote (pack of 2),0.348533
1325,Karelian Bear Dogs (3),0.341915
1326,Collared Peccary (Javelina) (pack of 2),0.340099
1327,Eurasian Lynx (female),0.339496
1328,Olive Python,0.338991
1329,Kalahari Cheetah,0.338790
1330,Caucasian Shepherd Dog,0.337266
1331,Ankole-Watusi,0.336839
1332,Bonelli's Eagle (female),0.335485
1333,Yacare Caiman (on land),0.334573
1334,Burr Lee Bullstag,0.333453
1335,Armbruster's Wolf,0.332371
1336,Great Danes (2),0.331850
1337,Scalloped Hammerhead,0.331575
1338,Chinese Alligator,0.331151
1339,Seawolf (Atlantic Wolffish),0.328064
1340,Steller's Sea Cow,0.327276
1341,Dinictis felina,0.327258
1342,Spiny-tailed Monitor,0.326871
1343,Bigclaw Snapping Shrimp,0.326771
1344,Eastern Wolf,0.321428
1345,Swinford Bandog,0.320494
1346,Andalgalornis steulleti,0.320487
1347,Giant Otter,0.320087
1348,Lesser Kudu,0.319386
1349,Tosa Inu,0.317099
1350,Haast's Eagle,0.314529
1351,Andean Condors (2),0.313556
1352,Stenonychosaurus inequalis,0.309961
1353,Neapolitan Mastiff,0.307705
1354,Alligator Snapping Turtle,0.303927
1355,Sunda Clouded Leopard,0.303888
1356,Dhole (female),0.300016
1357,Great Blue Skimmer,0.299076
1358,Rottweiler,0.298180
1359,European Rabbit,0.297657
1360,Mexican Wolf,0.297540
1361,Staffordshire Bull Terriers (3),0.294820
1362,Proterogyrinus scheeleri,0.294015
1363,Cane (Giant) Toad,0.293911
1364,arplaninac,0.292281
1365,Archaeoindris fontoynonti,0.291892
1366,Mountain Bluebird,0.291701
1367,Sea Otter,0.291631
1368,Aardvark,0.291441
1369,Vechur Cattle,0.290077
1370,Bush Dogs (pack 4/5),0.288891
1371,American Bulldog,0.287721
1372,Theriodictis platensis,0.287556
1373,Cheetah,0.286439
1374,Red Kangaroo,0.285898
1375,White-headed Vultures (3),0.285176
1376,Bili Ape,0.284076
1377,American Pit Bull Terriers (3),0.282779
1378,Tibetan Mastiff,0.281624
1379,New Guinea Singing Dog,0.279774
1380,Boa Constrictor,0.278144
1381,Homo erectus,0.270869
1382,Ekorus ekakeran,0.268390
1383,Ethiopian Wolf (Simian jackal) (pack of 2),0.265801
1384,Kalahari Cheetah (female),0.263551
1385,Giant Otter Romp (2),0.262753
1386,Fila Brasileiro,0.260811
1387,Protoceratops andrewsi,0.259768
1388,Guanaco,0.256537
1389,Clouded Leopard,0.256348
1390,Brazilian Whiteknee Tarantula,0.255880
1391,Bloodhound,0.255536
1392,Pakicetus inachus,0.253502
1393,Olive Baboon (troop of 2),0.253391
1394,Wolverine,0.252653
1395,Dhole (pack of 2),0.252217
1396,Capybara,0.247363
1397,Cane Corso,0.245526
1398,Lappet-faced Vultures (venue of 3),0.240544
1399,Pyrenean Mountain Dog,0.240507
1400,Mandrill,0.234128
1401,Wakaleo schouteni,0.233857
1402,Jagdterriers (pack of3/4),0.231605
1403,Giant Teratorn,0.230261
1404,Northern River Shark,0.229633
1405,Mackenzie Valley Wolf,0.228807
1406,Harpy Eagle (pair),0.228615
1407,Hapalops spp.,0.227941
1408,North American Beaver,0.225995
1409,Grey Wolf (female),0.225940
1410,Common Chimpanzee,0.225084
1411,Warthog (Boar),0.221432
1412,Patterdale Terriers (2),0.219679
1413,Northwestern Wolf (female),0.217023
1414,Asian Straight-tusked Elephant (herd of 3),0.216131
1415,Blacknose Shark,0.214483
1416,Rosy Wolfsnail,0.212710
1417,German Cockroach,0.211458
1418,Kangal,0.210881
1419,Spectacled Caiman,0.209115
1420,Australian Kelpie,0.203672
1421,Blue Land Crab,0.202813
1422,Egyptian Wolf,0.202683
1423,Red-tailed Boa,0.199925
1424,Southern Cassowary,0.196314
1425,Hokkaido Inu,0.196192
1426,African Crested Porcupine,0.196057
1427,Arabian Wolf,0.193349
1428,Transmontano Mastiff,0.193270
1429,Neotropical Otter,0.192579
1430,Eastern Wolf (pack of 2),0.191679
1431,Eurasian Lynx,0.189642
1432,Paranthropus robustus,0.188187
1433,Asian (Sand) Badger,0.187176
1434,Presa Canario,0.187073
1435,Wahoo,0.184546
1436,Northern Coyote,0.184238
1437,Indonesian Wild Boar,0.184036
1438,Czechoslovakian Wolfdog,0.183853
1439,Chacoan Peccary,0.180853
1440,Grey Reef Shark,0.180303
1441,North Sulawesi Babirusa,0.180014
1442,Australian Blacktip Shark,0.179246
1443,Giant Fossa,0.179000
1444,Drill,0.178979
1445,Two-spined Trapjaw Ant,0.178755
1446,Siberian Ibex,0.176750
1447,Vietnamese Centipede,0.176614
1448,Italian Wolf,0.176186
1449,Eurasian Otter,0.176071
1450,Bush Dog (pack of 3),0.175721
1451,Spotted-necked Otter,0.175697
1452,Yellow-throated Martens (3),0.173991
1453,American Red Fox (skulk of 2),0.173630
1454,Yellow Spotted False Monitor,0.171788
1455,Northern Luzon Giant Cloud Rat,0.169247
1456,Cinereous (Eurasian Black) Vulture (venue of 3),0.169101
1457,Boerboel,0.167914
1458,Goldsaddle Goatfish (school of 6),0.165559
1459,Emperor Penguin,0.165402
1460,Bonobo,0.164995
1461,Wolverine (boar),0.164790
1462,Arabian Leopardess,0.164225
1463,Eastern Coyotes (2),0.162060
1464,Blue (Grand Cayman) Iguana,0.160158
1465,Lappet-faced Vulture (venue of 2),0.159369
1466,Crested Eagle,0.158807
1467,Guinean Barracuda,0.155351
