rank,animal,crowd_score,normalized,rescaled,category
361,Dire Wolf (pack of 8),30.879623,302.1704,302.1704,non-mesozoic
362,Inostrancevia alexandri,30.875932,302.1343,302.1343,non-mesozoic
363,Dromornis stirtoni,30.704278,300.4546,300.4546,non-mesozoic
364,Arctic Wolf (Pack of 8-10),30.555800,299.0017,299.0017,non-mesozoic
365,Cymbospondylus buchseri,8.457706,82.7623,295.3412,mesozoic-other
366,Coastal Brown Bear,29.964944,293.2199,293.2199,non-mesozoic
367,Florida Black Bear,29.857801,292.1715,292.1715,non-mesozoic
368,American Bison,29.415312,287.8415,287.8415,non-mesozoic
369,Xenosmilus hodsonae,29.370917,287.4071,287.4071,non-mesozoic
370,Whale Shark,29.262544,286.3466,286.3466,non-mesozoic
371,Proterosuchus spp.,8.041078,78.6854,280.7926,mesozoic-other
372,Ohmdenosaurus liasicus,2.219956,21.7232,276.6351,dinosaur
373,Mylodon darwini,28.250766,276.4459,276.4459,non-mesozoic
374,Machairodus horribilis,28.052821,274.5090,274.5090,non-mesozoic
375,Plains Bison,27.797665,272.0121,272.0121,non-mesozoic
376,Tiger,27.745517,271.5018,271.5018,non-mesozoic
377,Indian Gaur,27.554914,269.6367,269.6367,non-mesozoic
378,Quetzalcoatlus northropi,7.534744,73.7307,263.1115,mesozoic-other
379,Kodiak Bear,26.830861,262.5515,262.5515,non-mesozoic
380,Western Gorilla (troop of 3),26.817574,262.4215,262.4215,non-mesozoic
381,Megalochelys atlas,26.805520,262.3036,262.3036,non-mesozoic
382,Lion (Pride of 10),26.662555,260.9046,260.9046,non-mesozoic
383,European Hippopotamus,26.478628,259.1048,259.1048,non-mesozoic
384,Kaprosuchus saharicus,7.322328,71.6521,255.6940,mesozoic-other
385,Borneo Pygmy Elephant,26.119226,255.5879,255.5879,non-mesozoic
386,Giant (Short-faced) Hyena (clan of 5),26.086176,255.2645,255.2645,non-mesozoic
387,Equus giganteus,26.036963,254.7829,254.7829,non-mesozoic
388,Percrocuta spp. (clan of 4/5),25.984462,254.2692,254.2692,non-mesozoic
389,Walrus,25.197198,246.5654,246.5654,non-mesozoic
390,Giraffe,25.087709,245.4941,245.4941,non-mesozoic
391,Trochosuchus acutus,7.017213,68.6665,245.0395,mesozoic-other
392,Grey Wolf (Pack of 8/9),25.008365,244.7176,244.7176,non-mesozoic
393,Barbourofelis fricki,24.845873,243.1276,243.1276,non-mesozoic
394,American Lion,24.732763,242.0208,242.0208,non-mesozoic
395,Phoberomys pattersoni,24.624373,240.9601,240.9601,non-mesozoic
396,Northwestern Wolf (pack of 7/8),24.578048,240.5068,240.5068,non-mesozoic
397,African Wild Dog (pack of 12),24.497003,239.7137,239.7137,non-mesozoic
398,Dire Wolves (pack of 3),24.298828,237.7745,237.7745,non-mesozoic
399,Sumatran Rhinoceros,24.284903,237.6382,237.6382,non-mesozoic
400,Quinkana fortirostrum,23.480521,229.7670,229.7670,non-mesozoic
401,Quercylurus major,23.214049,227.1595,227.1595,non-mesozoic
402,Einiosaurus procurvicornis,1.818018,17.7901,226.5484,dinosaur
403,Meraxes gigas,1.811557,17.7269,225.7433,dinosaur
404,Smilodon fatalis,22.961718,224.6903,224.6903,non-mesozoic
405,Aurochs (Pleistocene),22.885825,223.9477,223.9477,non-mesozoic
406,Inland Grizzly Bear,22.874026,223.8322,223.8322,non-mesozoic
407,Grey Wolves (pack of 3),22.624363,221.3891,221.3891,non-mesozoic
408,Mapusaurus roseae (Pack of 7),1.760488,17.2271,219.3794,dinosaur
409,Sivatherium giganteum,22.310694,218.3198,218.3198,non-mesozoic
410,Xiphiorhynchus rotundus,22.005988,215.3381,215.3381,non-mesozoic
411,(Wild) Water Buffalo,21.999025,215.2699,215.2699,non-mesozoic
412,Lythronax argestes,1.643265,16.0801,204.7719,dinosaur
413,Epicyon haydeni (pack of 3),20.860368,204.1277,204.1277,non-mesozoic
414,Blikanasaurus cromptoni,1.636733,16.0161,203.9580,dinosaur
415,Mourasuchus amazoniensis,20.537389,200.9672,200.9672,non-mesozoic
416,Wood Bison,20.532622,200.9206,200.9206,non-mesozoic
417,Neanderthals (3) (armed with spears),20.085715,196.5474,196.5474,non-mesozoic
418,Pseudocyon sansaniensis,19.796584,193.7181,193.7181,non-mesozoic
419,Southern Bottlenose Whale,19.723902,193.0069,193.0069,non-mesozoic
420,American Crocodile,19.614421,191.9356,191.9356,non-mesozoic
421,Ussuri Brown Bear,19.571124,191.5119,191.5119,non-mesozoic
422,Grey Wolf (Pack of 3/4 adults),19.325374,189.1071,189.1071,non-mesozoic
423,Narwhal,19.319452,189.0492,189.0492,non-mesozoic
424,Irish Elk,19.222574,188.1012,188.1012,non-mesozoic
425,Western Moose,19.105491,186.9555,186.9555,non-mesozoic
426,Alaskan Penisula Brown Bear,19.101946,186.9208,186.9208,non-mesozoic
427,Clidastes propython,5.344321,52.2965,186.6225,mesozoic-other
428,Ichthyosaurus somersetensis,5.337502,52.2298,186.3844,mesozoic-other
429,Concavenator corcovatus,1.493186,14.6115,186.0702,dinosaur
430,Broad-fronted Moose,18.747648,183.4538,183.4538,non-mesozoic
431,Smilodon fatalis (female),18.662790,182.6234,182.6234,non-mesozoic
432,Dhole (Pack of 10),18.399554,180.0476,180.0476,non-mesozoic
433,Florida Short-faced (Cave) Bear,18.349238,179.5552,179.5552,non-mesozoic
434,Dinofelis spp.,18.315608,179.2261,179.2261,non-mesozoic
435,Gigantopithecus blacki (coalition of 2),18.207089,178.1642,178.1642,non-mesozoic
436,Asiatic Lioness (pride of 2),18.038174,176.5113,176.5113,non-mesozoic
437,Shortfin Mako Shark,17.877150,174.9356,174.9356,non-mesozoic
438,Spotted Hyenas (clan of 6),17.856420,174.7328,174.7328,non-mesozoic
439,Grey Wolf (Pack of 5),17.530861,171.5470,171.5470,non-mesozoic
440,Pleistocene Jaguar,17.502431,171.2688,171.2688,non-mesozoic
441,Ancient Bison,17.443294,170.6902,170.6902,non-mesozoic
442,Kerberos langebadreae,17.308333,169.3695,169.3695,non-mesozoic
443,Steller's (Northern) Sea Lion,17.049247,166.8342,166.8342,non-mesozoic
444,American Alligator,16.993972,166.2933,166.2933,non-mesozoic
445,Velociraptor mongoliensis (pack of 4),1.333488,13.0488,166.1697,dinosaur
446,Polar Bear (sow),16.912058,165.4918,165.4918,non-mesozoic
447,Orca (female),16.865216,165.0334,165.0334,non-mesozoic
448,Kamchatka Brown Bear,16.671328,163.1361,163.1361,non-mesozoic
449,Giant Beaver,16.621636,162.6499,162.6499,non-mesozoic
450,Syrian Brown Bear,16.531086,161.7638,161.7638,non-mesozoic
451,Rubidgea atrox,16.471496,161.1807,161.1807,non-mesozoic
452,Pacific Sleeper Shark,16.421458,160.6910,160.6910,non-mesozoic
453,African Wild Dog (pack of 8),16.301432,159.5165,159.5165,non-mesozoic
454,Argentinosaurus huinculensis,1.279323,12.5187,159.4201,dinosaur
455,Suskityrannus hazelae,1.272017,12.4472,158.5097,dinosaur
456,Barbary Lion,16.024009,156.8018,156.8018,non-mesozoic
457,Aurochs (Holocene),16.009390,156.6588,156.6588,non-mesozoic
458,Lion,15.988556,156.4549,156.4549,non-mesozoic
459,Hyaenodon gigas,15.987219,156.4418,156.4418,non-mesozoic
460,European Jaguar,15.863335,155.2296,155.2296,non-mesozoic
461,Amphicyon frendens,15.778914,154.4035,154.4035,non-mesozoic
462,Woods Bison,15.613429,152.7841,152.7841,non-mesozoic
463,Broad-fronted (Giant) Moose,15.449504,151.1801,151.1801,non-mesozoic
464,Dinocrocuta gigantea (clan of 3),15.404186,150.7366,150.7366,non-mesozoic
465,Atlas Bear,15.306814,149.7838,149.7838,non-mesozoic
466,Ngandong Tiger,15.285969,149.5798,149.5798,non-mesozoic
467,Gaur,15.213038,148.8661,148.8661,non-mesozoic
468,American Scimitar,15.172985,148.4742,148.4742,non-mesozoic
469,Orinoco Crocodile,15.150685,148.2560,148.2560,non-mesozoic
470,Megantereon cultridens,15.069685,147.4634,147.4634,non-mesozoic
471,Brown Hyena (clan of 2),15.032736,147.1018,147.1018,non-mesozoic
472,Grizzly Bear,15.002422,146.8052,146.8052,non-mesozoic
473,Wanhsien Tiger,14.904597,145.8479,145.8479,non-mesozoic
474,Kubanochoerus gigas,14.778733,144.6163,144.6163,non-mesozoic
475,Tibetan Mastiffs(2),14.696073,143.8074,143.8074,non-mesozoic
476,African (Cape) Buffalo,14.624242,143.1045,143.1045,non-mesozoic
477,Wild Yak,14.608791,142.9533,142.9533,non-mesozoic
478,Kodiak bear,14.565477,142.5295,142.5295,non-mesozoic
479,Sauroposeidon proteles,1.141104,11.1662,142.1962,dinosaur
480,Arabian Wolf (pack of 5/6),14.395716,140.8683,140.8683,non-mesozoic
481,Velociraptor mongoliensis (pack of 3),1.116411,10.9246,139.1192,dinosaur
482,Glyptodon clavipes,14.186138,138.8175,138.8175,non-mesozoic
483,Amphicyon major,14.138739,138.3537,138.3537,non-mesozoic
484,Spotted Hyena (clan of 3),13.993436,136.9318,136.9318,non-mesozoic
485,Liliensternus liliensterni,1.069626,10.4668,133.2891,dinosaur
486,Arctic Wolf (Pack of 2),13.582875,132.9143,132.9143,non-mesozoic
487,Harpagolestes immanis,13.482774,131.9348,131.9348,non-mesozoic
488,Grey Wolf (Pack of 4),13.450458,131.6185,131.6185,non-mesozoic
489,Eurasian Brown Bear,13.437368,131.4904,131.4904,non-mesozoic
490,Eodromaeus murphi,1.053452,10.3085,131.2737,dinosaur
491,Eoraptor lunensis,1.053452,10.3085,131.2737,dinosaur
492,Mexican Grizzly Bear,13.324879,130.3897,130.3897,non-mesozoic
493,Trinil Tiger,13.314242,130.2856,130.2856,non-mesozoic
494,Bluntnose Sixgill Shark,13.310034,130.2444,130.2444,non-mesozoic
495,Shortfin Mako,13.266898,129.8223,129.8223,non-mesozoic
496,European Scimitar,13.170427,128.8783,128.8783,non-mesozoic
497,Onchopristis numida,3.689111,36.0995,128.8229,mesozoic-other
498,Megantereon whitei,13.138349,128.5644,128.5644,non-mesozoic
499,Interior Grizzly Bear,12.911745,126.3470,126.3470,non-mesozoic
500,East Siberian Brown Bear,12.895350,126.1866,126.1866,non-mesozoic
501,Epicyon haydeni (pack of 2),12.865854,125.8979,125.8979,non-mesozoic
502,Basking Shark,12.835587,125.6018,125.6018,non-mesozoic
503,Proborhyaena gigantea,12.828688,125.5342,125.5342,non-mesozoic
504,Chianina,12.816479,125.4148,125.4148,non-mesozoic
505,Ischigualastia jenseni,12.708691,124.3600,124.3600,non-mesozoic
506,Northwestern Wolf (pack of 2),12.670243,123.9838,123.9838,non-mesozoic
507,Iberian (Spanish) Fighting Bull,12.545652,122.7646,122.7646,non-mesozoic
508,Atlantic Blue Marlin,12.395303,121.2934,121.2934,non-mesozoic
509,Giganotosaurus carolinii (pack of 3),0.972532,9.5166,121.1900,dinosaur
510,Southern Elephant Seal (cow),12.225213,119.6290,119.6290,non-mesozoic
511,Giant (Short-faced) Hyena (clan of 4),12.221624,119.5939,119.5939,non-mesozoic
512,Dire Wolf (pack of 2),12.115205,118.5525,118.5525,non-mesozoic
513,Cyldesdale (Draught Horse),11.948158,116.9179,116.9179,non-mesozoic
514,Bully Kuttas (3),11.924277,116.6842,116.6842,non-mesozoic
515,Grey Wolf (Pack of 4/5),11.847013,115.9281,115.9281,non-mesozoic
516,Pelorovis spp.,11.728233,114.7658,114.7658,non-mesozoic
517,Banteng,11.721731,114.7022,114.7022,non-mesozoic
518,Alaskan Moose,11.672152,114.2170,114.2170,non-mesozoic
519,Collared Peccary (Javelina) (pack of 4),11.648740,113.9879,113.9879,non-mesozoic
520,Amphimachairodus kabir,11.336584,110.9334,110.9334,non-mesozoic
521,Gryposuchus croizati,11.313209,110.7046,110.7046,non-mesozoic
522,Kodiak Bear (sow),11.299637,110.5718,110.5718,non-mesozoic
523,Cinnamon Black Bear,11.145055,109.0592,109.0592,non-mesozoic
524,Eremotherium spp.,11.096971,108.5886,108.5886,non-mesozoic
525,Dogo Argentino (pack of 3/4),11.076999,108.3932,108.3932,non-mesozoic
526,Caucasian Shepherd Dogs (2),11.066795,108.2934,108.2934,non-mesozoic
527,Clymene (Short-snouted Spinner) Dolphin,11.020243,107.8378,107.8378,non-mesozoic
528,Cheetah (coalition of 4),10.989633,107.5383,107.5383,non-mesozoic
529,Northwestern Wolf (pack of 6),10.965401,107.3012,107.3012,non-mesozoic
530,Xiphactinus audax,10.943030,107.0823,107.0823,non-mesozoic
531,Brown Bear,10.941205,107.0644,107.0644,non-mesozoic
532,Eurasian Cave Lion,10.929229,106.9472,106.9472,non-mesozoic
533,Grey Wolf (Pack of 6),10.912813,106.7866,106.7866,non-mesozoic
534,Dromaeosauroides bornholmensis,0.852346,8.3406,106.2133,dinosaur
535,Common Chimpanzee (troop of 15),10.843575,106.1091,106.1091,non-mesozoic
536,European Bison (Wisent),10.809572,105.7763,105.7763,non-mesozoic
537,Josephoartigasia monesi,10.786954,105.5550,105.5550,non-mesozoic
538,Natodomeri Lion,10.719581,104.8957,104.8957,non-mesozoic
539,Eastern Gorilla (troop of 3 - 4),10.647511,104.1905,104.1905,non-mesozoic
540,Swordfish,10.646464,104.1802,104.1802,non-mesozoic
541,Gastornis gigantea (2),10.610901,103.8322,103.8322,non-mesozoic
542,Walrus (Bull),10.580021,103.5301,103.5301,non-mesozoic
543,Shire Horse,10.520752,102.9501,102.9501,non-mesozoic
544,Giant Otter Romp (5 - 6),10.482176,102.5726,102.5726,non-mesozoic
545,Bengal Tigress,10.467179,102.4259,102.4259,non-mesozoic
546,Giant Otter Romp (8),10.346725,101.2472,101.2472,non-mesozoic
547,Pygmy Sperm Whale,10.345579,101.2360,101.2360,non-mesozoic
548,Gigantophis garstini,10.292732,100.7188,100.7188,non-mesozoic
549,Cave Hyena (clan of 2),10.248482,100.2858,100.2858,non-mesozoic
550,Siberian Tiger,10.160022,99.4202,99.4202,non-mesozoic
551,Dinocrocuta gigantea,10.151464,99.3365,99.3365,non-mesozoic
552,Black Caiman,10.133492,99.1606,99.1606,non-mesozoic
553,Beluga,9.872164,96.6034,96.6034,non-mesozoic
554,Indochinese Tiger,9.851991,96.4060,96.4060,non-mesozoic
555,Archaeotherium mortoni,9.827138,96.1628,96.1628,non-mesozoic
556,Patagonian Panther,9.810244,95.9975,95.9975,non-mesozoic
557,Himalayan Black Bear,9.740847,95.3184,95.3184,non-mesozoic
558,Mugger (Marsh) Crocodile,9.643466,94.3655,94.3655,non-mesozoic
559,Early Middle Pleistocene European Cave Lion,9.576095,93.7062,93.7062,non-mesozoic
560,Eastern Gorilla (coalition of 3),9.516152,93.1197,93.1197,non-mesozoic
561,Alioramus altai,0.743217,7.2727,92.6144,dinosaur
562,Chasmosaurus belli,0.740110,7.2423,92.2272,dinosaur
563,Holmesina septentrionalis,9.311100,91.1131,91.1131,non-mesozoic
564,Bengal Tiger,9.140624,89.4449,89.4449,non-mesozoic
565,African Lion,9.025130,88.3148,88.3148,non-mesozoic
566,Dire Wolf (pack of 3),8.941891,87.5003,87.5003,non-mesozoic
567,Marsupial Lion,8.889745,86.9900,86.9900,non-mesozoic
568,Proterosuchus fergusi,2.452062,23.9945,85.6254,mesozoic-other
569,Nile Crocodile (female),8.718931,85.3185,85.3185,non-mesozoic
570,Bull Shark,8.656241,84.7051,84.7051,non-mesozoic
571,Archaeoindris fontoynonti (2),8.643852,84.5838,84.5838,non-mesozoic
572,Denversaurus schlessmani,0.675338,6.6085,84.1558,dinosaur
573,Koolasuchus cleelandi,2.392173,23.4084,83.5341,mesozoic-other
574,African Wild Dog (pack of 10),8.450872,82.6954,82.6954,non-mesozoic
575,Grizzly Bear (sow),8.189014,80.1330,80.1330,non-mesozoic
576,European Ice Age Leopard,8.096475,79.2275,79.2275,non-mesozoic
577,Ussuri Brown Bear (sow),8.007185,78.3538,78.3538,non-mesozoic
578,Morelet's Crocodile,7.995064,78.2351,78.2351,non-mesozoic
579,Asiatic Lion,7.953600,77.8294,77.8294,non-mesozoic
580,Himalayan Brown Bear,7.850166,76.8173,76.8173,non-mesozoic
581,Torvosaurus gurneyi,0.612600,5.9946,76.3378,dinosaur
582,Diabloceratops eatoni,0.610423,5.9733,76.0666,dinosaur
583,Belgian Blue,7.740679,75.7459,75.7459,non-mesozoic
584,Barren Ground Grizzly Bear,7.646187,74.8212,74.8212,non-mesozoic
585,Western Lowland Gorilla (male troop of 2),7.610603,74.4730,74.4730,non-mesozoic
586,Northwestern Wolf (pack of 2/3),7.577099,74.1452,74.1452,non-mesozoic
587,Spotted Hyenas (clan of 3),7.556156,73.9402,73.9402,non-mesozoic
588,Armadillosuchus arrudai,7.508153,73.4705,73.4705,non-mesozoic
589,Snow Leopard (mating pair),7.435177,72.7564,72.7564,non-mesozoic
590,Chapalmalania altaefrontis,7.311762,71.5487,71.5487,non-mesozoic
591,Tiger Shark (female),7.290506,71.3407,71.3407,non-mesozoic
592,Lioness,7.288510,71.3212,71.3212,non-mesozoic
593,Enhydriodon omoensis,7.164507,70.1078,70.1078,non-mesozoic
594,Saltwater Crocodile (cow),7.089738,69.3761,69.3761,non-mesozoic
595,Caspian Tiger,7.069165,69.1748,69.1748,non-mesozoic
596,Brontornis burmeisteri,7.038555,68.8753,68.8753,non-mesozoic
597,Leopard Seal,7.010603,68.6018,68.6018,non-mesozoic
598,Akita Inu (pack of 5),6.938073,67.8920,67.8920,non-mesozoic
599,Dhole (Pack of 6),6.938073,67.8920,67.8920,non-mesozoic
600,Dire Wolves (pack of 2),6.798629,66.5275,66.5275,non-mesozoic
601,Placerias hesternus,6.741163,65.9652,65.9652,non-mesozoic
602,Bactrian Camel,6.652503,65.0976,65.0976,non-mesozoic
603,Kelenken guillermoi,6.599787,64.5818,64.5818,non-mesozoic
604,Moros intrepidus,0.513987,5.0296,64.0494,dinosaur
605,Common Eland,6.463158,63.2448,63.2448,non-mesozoic
606,Barylambda faberi,6.438851,63.0069,63.0069,non-mesozoic
607,Alano Españols (2),6.429311,62.9136,62.9136,non-mesozoic
608,Longdan Tiger,6.421761,62.8397,62.8397,non-mesozoic
609,Spotted Hyena (clan of 2),6.386629,62.4959,62.4959,non-mesozoic
610,Tibetan Blue Bear,6.350499,62.1424,62.1424,non-mesozoic
611,African (Cape) Buffalo (cow),6.327097,61.9134,61.9134,non-mesozoic
612,Siberian Tigress,6.096646,59.6583,59.6583,non-mesozoic
613,Dromedary (Arabian) Camel,6.095562,59.6477,59.6477,non-mesozoic
614,Pygmy Killer Whale,6.071868,59.4158,59.4158,non-mesozoic
615,Sumatran Tigress,6.009130,58.8019,58.8019,non-mesozoic
616,Black Caiman (cow),5.958171,58.3033,58.3033,non-mesozoic
617,Eastern Gorilla (coalition of 2),5.909426,57.8263,57.8263,non-mesozoic
618,Great Hammerhead Shark,5.884446,57.5818,57.5818,non-mesozoic
619,African Lioness,5.881160,57.5497,57.5497,non-mesozoic
620,Nguni (Bull),5.846744,57.2129,57.2129,non-mesozoic
621,Haida Gwaii Black Bear,5.842613,57.1725,57.1725,non-mesozoic
622,Bali Tigress,5.801275,56.7680,56.7680,non-mesozoic
623,Caucasian Shepherd Dogs (5),5.741238,56.1805,56.1805,non-mesozoic
624,Brown Hyena (clan of 3),5.725519,56.0267,56.0267,non-mesozoic
625,Grevy's (Imperial) Zebra,5.693029,55.7087,55.7087,non-mesozoic
626,Sri Lankan Sloth Bear,5.632982,55.1212,55.1212,non-mesozoic
627,Muskox,5.627613,55.0686,55.0686,non-mesozoic
628,Epicyon haydeni,5.606365,54.8607,54.8607,non-mesozoic
629,African Forest Buffalo,5.593704,54.7368,54.7368,non-mesozoic
630,Shasta Ground Sloth,5.579904,54.6018,54.6018,non-mesozoic
631,Orca (Transient female),5.567623,54.4816,54.4816,non-mesozoic
632,Giant Freshwater Stingray (whipray),5.564627,54.4523,54.4523,non-mesozoic
633,Thalassocnus spp.,5.559902,54.4060,54.4060,non-mesozoic
634,American Black Bear,5.553838,54.3467,54.3467,non-mesozoic
635,African Wild Dog (pack of 5),5.548144,54.2910,54.2910,non-mesozoic
636,Porbeagle Shark,5.547078,54.2806,54.2806,non-mesozoic
637,Grey Wolf (pack of 3),5.546873,54.2785,54.2785,non-mesozoic
638,Asiatic Black Bear,5.544688,54.2572,54.2572,non-mesozoic
639,North American Jaguar,5.522532,54.0404,54.0404,non-mesozoic
640,Giant Warthog,5.445949,53.2910,53.2910,non-mesozoic
641,Neanderthal (armed with a spear),5.423935,53.0755,53.0755,non-mesozoic
642,Cuban Crocodile,5.420077,53.0378,53.0378,non-mesozoic
643,Indarctos oregonensis,5.417784,53.0154,53.0154,non-mesozoic
644,Black Marlin,5.406647,52.9064,52.9064,non-mesozoic
645,Archaic Human (armed with spear),5.363077,52.4800,52.4800,non-mesozoic
646,Geosaurus spp.,1.493186,14.6115,52.1417,mesozoic-other
647,Gigantopithecus blacki,5.328145,52.1382,52.1382,non-mesozoic
648,Rottweilers (8),5.291358,51.7782,51.7782,non-mesozoic
649,Entelodon spp.,5.290874,51.7735,51.7735,non-mesozoic
650,Asiatic Lioness,5.269916,51.5684,51.5684,non-mesozoic
651,Water Buffalo,5.251417,51.3874,51.3874,non-mesozoic
652,Red Wolf (pack of 3),5.237017,51.2465,51.2465,non-mesozoic
653,Coelophysis bauri (pack of 3),0.409152,4.0037,50.9856,dinosaur
654,Common Bottlenose Dolphin,5.206461,50.9475,50.9475,non-mesozoic
655,Malayan Tigress,5.186053,50.7478,50.7478,non-mesozoic
656,Cheetah (coalition of 3),5.127692,50.1767,50.1767,non-mesozoic
657,Smilodon gracilis,5.107413,49.9782,49.9782,non-mesozoic
658,Salmon Shark,5.040752,49.3259,49.3259,non-mesozoic
659,Ankalagon saurognathus,4.943254,48.3719,48.3719,non-mesozoic
660,Sumatran Tiger,4.942298,48.3625,48.3625,non-mesozoic
661,Jaguar,4.938265,48.3231,48.3231,non-mesozoic
662,Oceanic Whitetip Shark,4.914178,48.0874,48.0874,non-mesozoic
663,Blue Jay,4.904529,47.9929,47.9929,non-mesozoic
664,Collared Peccary (Javelina) (pack of 6),4.863320,47.5897,47.5897,non-mesozoic
665,Longfin Mako Shark,4.862923,47.5858,47.5858,non-mesozoic
666,Siamese Crocodile,4.791596,46.8878,46.8878,non-mesozoic
667,Jaguaress,4.787570,46.8484,46.8484,non-mesozoic
668,Dogo Argentino (pack of 5),4.717905,46.1667,46.1667,non-mesozoic
669,Highland Cattle Bull,4.689165,45.8855,45.8855,non-mesozoic
670,Protocyon troglodytes (pack of 2),4.668755,45.6858,45.6858,non-mesozoic
671,Brachycrus spp.,4.653148,45.5331,45.5331,non-mesozoic
672,Tibetan Mastiff (pack of 5),4.648135,45.4840,45.4840,non-mesozoic
673,Titanis walleri,4.615354,45.1632,45.1632,non-mesozoic
674,Dhole (Pack of 4/5),4.601769,45.0303,45.0303,non-mesozoic
675,Central Asian Shepherd Dog (Alabai) (pack of 3),4.554023,44.5631,44.5631,non-mesozoic
676,Pantanal Jaguar,4.501975,44.0538,44.0538,non-mesozoic
677,Pygmy Hippopotamus,4.495032,43.9858,43.9858,non-mesozoic
678,Ussuri Wild Boar,4.489810,43.9347,43.9347,non-mesozoic
679,Olive Baboon (Troop of 5),4.478315,43.8222,43.8222,non-mesozoic
680,Dimetrodon grandis,4.453901,43.5833,43.5833,non-mesozoic
681,Baikal Seal,4.445498,43.5011,43.5011,non-mesozoic
682,Megapiranha paranensis (shoal of 5),4.405421,43.1089,43.1089,non-mesozoic
683,Neapolitan Mastiffs (2),4.400046,43.0563,43.0563,non-mesozoic
684,Mexican Wolf (pack of 3),4.382683,42.8864,42.8864,non-mesozoic
685,Gobi Bear,4.359084,42.6555,42.6555,non-mesozoic
686,Western Lowland Gorilla,4.355345,42.6189,42.6189,non-mesozoic
687,South American Sea Lion,4.354320,42.6089,42.6089,non-mesozoic
688,California Sea Lion,4.344731,42.5151,42.5151,non-mesozoic
689,Barbourofelis morrisi,4.334996,42.4198,42.4198,non-mesozoic
690,Przewalski's Horse,4.304250,42.1189,42.1189,non-mesozoic
691,Dogo Argentino (pack of 6-8),4.272388,41.8072,41.8072,non-mesozoic
692,Grey Wolves (pack of 2),4.225578,41.3491,41.3491,non-mesozoic
693,Colossal Squid,4.223515,41.3289,41.3289,non-mesozoic
694,Risso's Dolphin,4.194840,41.0483,41.0483,non-mesozoic
695,Eastern Lowland Gorilla,4.180266,40.9057,40.9057,non-mesozoic
696,Northwestern Wolf (pack of 7),4.123039,40.3457,40.3457,non-mesozoic
697,Central Asian Shepherd Dog (Alabai) (pack of 6),4.074277,39.8686,39.8686,non-mesozoic
698,(YNP) Cinnamon Black Bear,4.056382,39.6934,39.6934,non-mesozoic
699,African Wild Dog (pack of 4),4.018187,39.3197,39.3197,non-mesozoic
700,European (German) Wasp,4.001337,39.1548,39.1548,non-mesozoic
701,White Sturgeon,3.970173,38.8499,38.8499,non-mesozoic
702,Gemsbok,3.963209,38.7817,38.7817,non-mesozoic
703,Stenonychosaurus inequalis,0.309961,3.0331,38.6251,dinosaur
704,Ambulocetus natans,3.920262,38.3615,38.3615,non-mesozoic
705,Smalltooth Sawfish,3.878481,37.9526,37.9526,non-mesozoic
706,Steppe Wolf (pack of 2),3.835091,37.5280,37.5280,non-mesozoic
707,Spotted Hyena (female),3.820929,37.3894,37.3894,non-mesozoic
708,Dhole (Pack of 3/4),3.817257,37.3535,37.3535,non-mesozoic
709,Giant Eland,3.784362,37.0316,37.0316,non-mesozoic
710,Roosevelt Elk,3.784001,37.0281,37.0281,non-mesozoic
711,Giant Forest Hog,3.783937,37.0275,37.0275,non-mesozoic
712,Sloth Bear,3.771869,36.9094,36.9094,non-mesozoic
713,Cantabrian Brown Bear,3.682539,36.0352,36.0352,non-mesozoic
714,Cave Hyena,3.658967,35.8046,35.8046,non-mesozoic
715,Striped Hyena (clan of 3),3.621013,35.4332,35.4332,non-mesozoic
716,Tibetan Mastiff (pack of 3),3.546378,34.7028,34.7028,non-mesozoic
717,Cape Mountain Zebra,3.545861,34.6978,34.6978,non-mesozoic
718,Asiatic Wild Ass (Onager),3.488498,34.1365,34.1365,non-mesozoic
719,Dhole (Pack of 5),3.482193,34.0748,34.0748,non-mesozoic
720,Spotted Hyenas (clan of 2),3.392785,33.1999,33.1999,non-mesozoic
721,Albanosmilus jourdani,3.350671,32.7878,32.7878,non-mesozoic
722,Piraiba,3.347543,32.7572,32.7572,non-mesozoic
723,Bali Tiger,3.344492,32.7273,32.7273,non-mesozoic
724,Okapi,3.340565,32.6889,32.6889,non-mesozoic
725,Protoceratops andrewsi,0.259768,2.5419,32.3704,dinosaur
726,African Crowned Eagle (male),3.307925,32.3695,32.3695,non-mesozoic
727,Ussuri Black Bear,3.278905,32.0855,32.0855,non-mesozoic
728,Western Gorilla,3.261782,31.9179,31.9179,non-mesozoic
729,Ganges River Dolphin,3.260888,31.9092,31.9092,non-mesozoic
730,Northwestern Wolf (pack of 3),3.257826,31.8792,31.8792,non-mesozoic
731,Philippine (Mindoro) Crocodile,3.250709,31.8096,31.8096,non-mesozoic
732,Common Chimpanzee (troop of 6),3.233889,31.6450,31.6450,non-mesozoic
733,Dinofelis piveteaui,3.204685,31.3592,31.3592,non-mesozoic
734,Neanderthal (with spear),3.195026,31.2647,31.2647,non-mesozoic
735,Savannah Cat,3.183180,31.1488,31.1488,non-mesozoic
736,Kolponomos spp.,3.182856,31.1456,31.1456,non-mesozoic
737,Ethiopian Wolf (Simian Jackal),3.122798,30.5579,30.5579,non-mesozoic
738,Oculudentavis khaungraae,0.860863,8.4239,30.0611,mesozoic-other
739,Rottweilers (4),3.005989,29.4149,29.4149,non-mesozoic
740,Giant (Short-faced) Hyena (clan of 2),2.995579,29.3130,29.3130,non-mesozoic
