rank,animal,power,category
120,Saurophaganax maximus,239.343328,dinosaur
121,Barinasuchus arveloi,223.178091,non-mesozoic
122,Globidens alabamaensis,221.848582,mesozoic-other
123,African Bush Elephant (cow),220.960587,non-mesozoic
124,Eurasian Cave Lion (Coalition of 3),216.230234,non-mesozoic
125,Ceratosaurus nasicornis (pack of 2/3),215.035229,dinosaur
126,Yangchuanosaurus shangyouensis,211.261470,dinosaur
127,Woolly Rhinoceros,211.028171,non-mesozoic
128,Crocodylus thorbjarnarsoni,208.348334,non-mesozoic
129,Woolly Mammoth,208.112028,non-mesozoic
130,Smilodon fatalis (coalition of 3/4),205.239011,non-mesozoic
131,Australovenator wintonensis,202.275418,dinosaur
132,Cretoxyrhina mantelli,201.174217,mesozoic-other
133,African Lion (Coalition of 3/4),198.833667,non-mesozoic
134,Allosaurus fragilis,190.426963,dinosaur
135,Eurasian Cave Lion (Coalition of 2),184.638680,non-mesozoic
136,Megatherium americanum,182.258170,non-mesozoic
137,Irritator challengeri,180.359431,dinosaur
138,Brygmophyseter shigensis,178.770994,non-mesozoic
139,Sumatran Elephant,178.195002,non-mesozoic
140,Deinosuchus rugosus,177.235392,mesozoic-other
141,Arsinoitherium zitteli,175.983390,non-mesozoic
142,Homotherium crenatidens,168.202446,non-mesozoic
143,American Lion (Coalition of 2/3),166.659037,non-mesozoic
144,Spotted Hyenas (clan of 15),160.556994,non-mesozoic
145,Tropical Bottlenose Whale (pod of 2),159.644227,non-mesozoic
146,Asian Elephant,159.643740,non-mesozoic
147,Sarcosuchus imperator,159.395219,mesozoic-other
148,Smilodon fatalis (coalition of 5),156.288852,non-mesozoic
149,Megacamelus merriami,155.099610,non-mesozoic
150,Gastonia burgei,152.348997,dinosaur
151,African Forest Elephant,151.916472,non-mesozoic
152,Therizinosaurus cheloniformis,151.199269,dinosaur
153,Nanshiungosaurus brevispinus,147.743239,dinosaur
154,African Bush Elephant,134.775086,non-mesozoic
155,Doedicurus clavicaudatus,134.481667,non-mesozoic
156,Indian (Greater One-horned) Rhinoceros,132.973113,non-mesozoic
157,Smilodon fatalis (coalition of 2),132.217499,non-mesozoic
158,Pentaceratops sternbergii,132.169773,dinosaur
159,Suchomimus tenerensis,131.761499,dinosaur
160,Saltriovenator zanellai,126.571534,dinosaur
161,Parahelicoprion spp.,124.257648,non-mesozoic
162,Dire Wolf (pack of 10- 12),124.093607,non-mesozoic
163,White Rhinoceros,123.855923,non-mesozoic
164,Lioness (pride of 4),117.771828,non-mesozoic
165,Astrapotherium magnum,117.646701,non-mesozoic
166,Skorpiovenator bustingorryi,117.099910,dinosaur
167,Amargasaurus cazaui,116.543975,dinosaur
168,Dunkleosteus terrelli,115.902009,non-mesozoic
169,Smilodon fatalis (coalition of 4),115.751953,non-mesozoic
170,Great White Shark,115.640274,non-mesozoic
171,Stegosaurus ungulatus,114.709323,dinosaur
172,Stegodon trigonocephalus,112.339963,non-mesozoic
173,Deinonychus antirrhopus (pack of 5/6),111.719548,dinosaur
174,Orca Cow (Ross Sea - Type C),110.382963,non-mesozoic
175,American Lion (Coalition of 2),109.128469,non-mesozoic
176,Rhomaleosaurus spp.,108.707221,mesozoic-other
177,Wapiti Lake Grey Wolf Pack,108.086527,non-mesozoic
178,Nasutoceratops titusi,107.370651,dinosaur
179,Parasaurolophus spp.,106.325274,dinosaur
180,African (Cape) Buffaloes (2),100.265081,non-mesozoic
181,Platybelodon spp.,100.241913,non-mesozoic
182,Hippopotamus (cow),99.943480,non-mesozoic
183,Lion (Coalition of 3),96.850106,non-mesozoic
184,Oxalaia quilombensis,95.696010,dinosaur
185,False Killer Whale,95.632107,non-mesozoic
186,Northwestern Wolf (Pack of 8),95.067533,non-mesozoic
187,Leedsichthys problematicus,94.662351,mesozoic-other
188,Lioness (pride of 6),94.227452,non-mesozoic
189,Smilodon populator (pride of 2),93.780057,non-mesozoic
190,Savuti Pride,92.435294,non-mesozoic
191,Zygophyseter varolai,91.649923,non-mesozoic
192,Megacerops coloradensis,91.105221,non-mesozoic
193,Long-finned Pilot Whale,90.484787,non-mesozoic
194,Rhoetosaurus brownei,88.401702,dinosaur
195,Smilosuchus gregorii,87.341607,mesozoic-other
196,Archaic Humans (group of 3 - 5) armed with spear,85.834729,non-mesozoic
197,Majungasaurus crenatissimus,85.307274,dinosaur
198,Lion (Coalition of 3/4),84.918826,non-mesozoic
199,Saurosuchus galilei,84.784662,mesozoic-other
200,Tylosaurus nepaeolicus,84.282825,mesozoic-other
201,Hippopotamus gorgops,83.433551,non-mesozoic
202,American Lion (Coalition of 4),83.393456,non-mesozoic
203,Afrovenator abakensis,81.774132,dinosaur
204,Epicyon haydeni (pack of 5),81.459183,non-mesozoic
205,Helicoprion clerci,80.982920,non-mesozoic
206,Erythrosuchus africanus,80.730341,mesozoic-other
207,Lisowicia bojani,77.032130,non-mesozoic
208,Deinonychus antirrhopus (pack of 4),76.825118,dinosaur
209,Palaeoloxodon mnaidriensis,76.016160,non-mesozoic
210,Sibotherium ka,75.954481,non-mesozoic
211,Northern Elephant Seal,75.405202,non-mesozoic
212,Saivodus striatus,74.943290,non-mesozoic
213,Pleistocene North American Jaguar,73.955499,non-mesozoic
214,Anteosaurus magnificus,73.186012,non-mesozoic
215,Asian Elephant (cow),72.850976,non-mesozoic
216,Rajasaurus narmadensis,72.019800,dinosaur
217,Prestosuchus chiniquensis,70.562014,mesozoic-other
218,Nanuqsaurus hoglundi,69.037309,dinosaur
219,Diprotodon optatum,67.827012,non-mesozoic
220,Gorgosaurus libratus (pack of 2 -3),67.745565,dinosaur
221,Sinraptor dongi,66.021584,dinosaur
222,Pacific Walrus,66.020977,non-mesozoic
223,Dorudon serratus,66.009420,non-mesozoic
224,Carbonemys cofrinii,65.575254,non-mesozoic
225,Edmontosaurus Annectens,64.746394,dinosaur
226,Chilotherium wimani,63.739131,non-mesozoic
227,Rhizodus hibberti,63.034594,non-mesozoic
228,False Killer Whale (cow),62.961783,non-mesozoic
229,Black Rhinoceros,60.636246,non-mesozoic
230,Gorgosaurus libratus,60.004142,dinosaur
231,Arctodus simus,59.754300,non-mesozoic
232,Spotted Hyenas (clan of 6-8),59.385716,non-mesozoic
233,Utahraptor ostrommaysorum (pack of 2),58.900475,dinosaur
234,Ceratosaurus nasicornis,58.730339,dinosaur
235,Kentrosaurus aethiopicus,58.404264,dinosaur
236,Wood Bison (herd of 3),57.317288,non-mesozoic
237,Iguanodon bernissartensis,56.990961,dinosaur
238,Smilodon populator (pride of 4),56.951378,non-mesozoic
239,Hippopotamus,56.475575,non-mesozoic
240,Steppe Brown Bear,56.471323,non-mesozoic
241,Metriacanthosaurus parkeri,56.453968,dinosaur
242,Short-finned Pilot Whale,55.821652,non-mesozoic
243,Estemmenosuchus uralensis,55.742073,non-mesozoic
244,Alectrosaurus olseni,55.591915,dinosaur
245,Asiatic Lion (coalition of 2),55.528429,non-mesozoic
246,Daeodon shoshonensis,55.491474,non-mesozoic
247,Smilodon populator (coalition of 2),55.484602,non-mesozoic
248,Saltwater Crocodile,55.476312,non-mesozoic
249,African (Cape) Buffaloes (Herd of 4),54.858072,non-mesozoic
250,Lion (Coalition of 2/3),54.654025,non-mesozoic
251,Lion (Coalition of 4),54.591026,non-mesozoic
252,African Lion (Coalition of 2),54.018285,non-mesozoic
253,Simbakubwa kutokaafrika,53.932779,non-mesozoic
254,Carnotaurus sastrei,52.586971,dinosaur
255,African (Cape) Buffalo (herd of 3),52.231517,non-mesozoic
256,Arctodus simus (sow),52.016284,non-mesozoic
257,Jefferson's Ground Sloth,51.276701,non-mesozoic
258,Arctotherium angustidens,51.099911,non-mesozoic
259,Lion (Coalition of 2),50.985062,non-mesozoic
260,African (Cape) Buffalo (herd of 4),50.593705,non-mesozoic
